,BreweryName,BreweryType,Latitude,Longitude,County,State
163,Beer Lab HI,micro,21.2921440645306,-157.821878401556,Honolulu,HI
164,Home of the Brave Brewing Company,brewpub,21.2987568898793,-157.853596637989,Honolulu,HI
165,10 Barrel Brewing Co,large,43.6174335918367,-116.202360204082,Ada,ID
166,Kootenai River Brewing Co,brewpub,48.6965721,-116.3105154,Boundary,ID
167,MickDuff's Brewing Co,micro,48.2762009795918,-116.54917522449,Bonner,ID
168,Payette Brewing Co,micro,43.6130136314097,-116.214503263623,Ada,ID
169,Von Scheidt Brewing Co,brewpub,42.5556194285714,-114.471756,Twin Falls,ID
170,Afterthought Brewing Company,micro,41.9054974203246,-88.0223457433187,DuPage,IL
171,Bent River Brewing Co,brewpub,41.5059051632653,-90.5173633673469,Rock Island,IL
172,Blue Nose Brewery,micro,41.7790490756887,-87.858334644028,Cook,IL
173,DESTIHL - Champaign,brewpub,40.1184918,-88.2437783,Champaign,IL
174,Emmett's Brewing Co - Downers Grove,brewpub,41.7925884,-88.0105120520319,DuPage,IL
175,Flapjack Brewery,brewpub,41.8334248420287,-87.7943628097043,Cook,IL
176,Gordon Biersch Brewery Restaurant - Bolingbrook,brewpub,41.721179,-88.042356,Will,IL
177,Granite City Food & Brewery (#22),brewpub,41.637482510049,-87.8538905553317,Cook,IL
178,Hopskeller Brewing Company,brewpub,38.3352174297561,-90.1485026708463,Monroe,IL
179,Horse Thief Hollow Brewery,brewpub,41.70388555,-87.6819511632652,Cook,IL
180,Metal Monkey Brewing LLC,micro,41.645057495366,-88.0778806350934,Will,IL
181,Myths and Legends Brewing Company,micro,41.7763011,-87.9817647,DuPage,IL
182,Off Color Brewing,micro,41.9189269656549,-87.7253843735564,Cook,IL
183,RAM Restaurant and Brewery - Wheeling,brewpub,42.1541156,-87.9155543,Lake,IL
184,Ryan Brewing Company,micro,42.4211214006387,-89.0101578170468,Winnebago,IL
185,Stubborn German Brewing Co,micro,38.3353199424359,-90.1503287598532,Monroe,IL
186,18th Street Brewery,micro,41.5992834347567,-87.2688778553589,Lake,IN
187,95ate5 Brewpub,brewpub,41.4440024584439,-87.4638030517554,Lake,IN
188,Burn'Em Brewing,brewpub,41.7384971691983,-86.8297919071235,LaPorte,IN
189,Danny Boy Beer Works,brewpub,39.971556,-86.1971767,Hamilton,IN
190,Deer Creek Brewery,micro,40.0443978,-85.9962796,Hamilton,IN
191,Iechyd Da Brewing,brewpub,41.69004065,-85.9753133158581,Elkhart,IN
192,Metazoa Brewing Co.,micro,39.7645504924982,-86.1458502485116,Marion,IN
193,New Albanian Bank Street Brewhouse,brewpub,38.2865673227507,-85.822208424036,Floyd,IN
194,RAM Restaurant and Brewery - Indianapolis,brewpub,39.76475755,-86.1605094727252,Marion,IN
195,Shoreline Brewery,brewpub,41.7193131052632,-86.9062196842105,LaPorte,IN
196,The Red Yeti,brewpub,38.2718249,-85.7401585,Clark,IN
197,Upland Brewing Co - Bloomington Brewpub,regional,39.173423,-86.5374792673344,Monroe,IN
198,Wasser Brewing Company,brewpub,39.6446717121844,-86.8633102289789,Putnam,IN
199,Big's BBQ Brewpub,brewpub,41.9229993877551,-91.4177200204082,Linn,IA
200,Crawford Brew Works,micro,41.5592441864407,-90.483443779661,Scott,IA
201,Deb's Brewtopia,micro,42.8548668119706,-91.4060835272074,Clayton,IA
202,Franklin Street Brewing Company,micro,42.483293244898,-91.4577792857143,Delaware,IA
203,Lion Bridge Brewing Company,brewpub,41.9647894789684,-91.66095280967,Linn,IA
204,Pulpit Rock Brewing Co.,micro,43.3065402420925,-91.7962545003461,Winneshiek,IA
205,Quarter Barrel Arcade,brewpub,41.9806253265306,-91.6631809387755,Linn,IA
206,Twisted Vine Brewery,micro,41.5936597,-93.7489517002412,Polk,IA
207,Free State Brewing Co,brewpub,38.9724346875125,-95.2358091579129,Douglas,KS
208,Norsemen Brewing Co.,micro,39.06706165,-95.6663741987798,Shawnee,KS
209,Radius Brewing Company,micro,38.4052199591837,-96.1813070612245,Lyon,KS
210,Bluegrass Brewing Co - Brewpub,brewpub,38.25620645,-85.7550889765356,Jefferson,KY
211,Gordon Biersch Brewery Restaurant - Louisville,brewpub,38.2528789,-85.7574044,Jefferson,KY
212,Hofbrauhaus Newport,brewpub,39.094846,-84.494527,Campbell,KY
213,Rock House Brewing,micro,38.0565233673469,-84.4822984081633,Fayette,KY
214,Sterling Beer Co.,contract,38.2019083,-85.7347014047845,Jefferson,KY
215,Crying Eagle Brewing Company,micro,30.1762643877551,-93.2051513265306,Calcasieu,LA
216,Flying Heart Brewing,micro,32.515706,-93.732075,Bossier,LA
217,Gordon Biersch Brewery Restaurant - New Orleans,brewpub,29.9481058,-90.0651027,Orleans,LA
218,Wayward Owl Brewing Company,micro,29.9521547,-90.0975913741154,Orleans,LA
219,Bigelow Brewing Company,brewpub,44.7199196699464,-69.7296161313716,Somerset,ME
220,D.L. Geary Brewing Co Inc.,micro,43.7076741571514,-70.314848130679,Cumberland,ME
221,Gritty McDuffs - Portland,brewpub,43.6564108,-70.2533609,Cumberland,ME
