Q1,Q2,Q3,Q4
60251,,106543,
52503,,77795,
64648,,60143,
60251,,106543,
64648,,83253,
64648,,106543,
52503,,106543,
57753,,75843,
52503,,82686,
72469,,83253,
66321,,83253,
54704,,54913,
51479,,83253,
63352,,74142,
60918,,90584,
52554,,106543,
78540,,77795,
65040,,83253,
56272,,59918,
44074,,90584,
64706,,69857,
49792,,106543,
72469,,77795,
49504,,59918,
85665,,83253,
72469,,75843,
61084,,90584,
71880,,59918,
52276,,59918,
69148,,77795,
68835,,56001,
69148,,76728,
72469,,56739,
72469,,81257,
57212,,54704,
56367,,65051,
72469,,54913,
47533,,58831,
47533,,69827,
61084,,69827,
85665,,76728,
71880,,54913,
80539,,54913,
72469,,50753,
69148,,65041,
71815,,65041,
72469,,65891,
72469,,50753,
58286,,47876,
71880,,39030,
47533,,50205,
72469,,50753,
53030,,65891,
72469,,50753,
72469,,81257,
85665,,65051,
72469,,50753,
85665,,87827,
72469,,81257,
57212,,81257,
85665,,50730,
52276,,48471,
85665,,69827,
53030,,69827,
72469,,66560,
80539,,50659,
85665,,50659,
80539,,50659,
59339,,47705,
72469,,56001,
58286,,65051,
80539,,76728,
56367,,45006,
64058,,45006,
64058,,65051,
72469,,65051,
57212,,50753,
72469,,48471,
59339,,69827,
72469,,50256,
69148,,50753,
71880,,66560,
80539,,50659,
71880,,69827,
72469,,54704,
72469,,54913,
47533,,69827,
47533,,58733,
72469,,58733,
65436,,76728,
60763,,50554,
67515,,81257,
47598,,49114,
60323,,50659,
73780,,56739,
67515,,81257,
49741,,65891,
51356,,66568,
53762,,76728,
53439,,56934,
51923,,65051,
67515,,50554,
53762,,50205,
67418,,56739,
64799,,66560,
64799,,81257,
49173,,66560,
69101,,69827,
67515,,50659,
92340,,69827,
50979,,50730,
47598,,48880,
102233,,81257,
59407,,58733,
102233,,83363,
61036,,68652,
65436,,82323,
47598,,83363,
92340,,89075,
47598,,55247,
102233,,82323,
53655,,68652,
47598,,55328,
92340,,83363,
67515,,66449,
76783,,68652,
102233,,60228,
92340,,108718,
56265,,82323,
67515,,63849,
47598,,61082,
54377,,100857,
69101,,60384,
51923,,83363,
64799,,59901,
67515,,68652,
49741,,101891,
69101,,82323,
67418,,68652,
49741,,64129,
67515,,72438,
53762,,82323,
64799,,83363,
102233,,108718,
61560,,64129,
92340,,91374,
67515,,82323,
47598,,60228,
56873,,82323,
63012,,82323,
72576,,64219,
69101,,64874,
64799,,62716,
102233,,80631,
76783,,58660,
60763,,68652,
54099,,100857,
72576,,80631,
60763,,82323,
93587,,71067,
60763,,100857,
92340,,82323,
92340,,75519,
92340,,65749,
47598,,82323,
49741,,108718,
56265,,62762,
65558,,60384,
51324,,101891,
62165,,108718,
80862,,82323,
62165,,82323,
56824,,89075,
55588,,61847,
52905,,82323,
43958,,63451,
53648,,54984,
62059,,55684,
68468,,108718,
53648,,82323,
70980,,49619,
64399,,53414,
73890,,50401,
49770,,44773,
63162,,34583,
59981,,41733,
59036,,40224,
60316,,40515,
60316,,46309,
57606,,70705,
60316,,57907,
52659,,57907,
50973,,46309,
119637,,57907,
60316,,57907,
63846,,57907,
119637,,57907,
60316,,52872,
43952,,58029,
47599,,57907,
60316,,66501,
54476,,45313,
57606,,70161,
63846,,38914,
63846,,70161,
57802,,70161,
49896,,57907,
61807,,45313,
80690,,40177,
61807,,46309,
70130,,72469,
61638,,45313,
94899,,61435,
70130,,57279,
62143,,49771,
83704,,73731,
58956,,57209,
96847,,51732,
61807,,66075,
61807,,57209,
58956,,73731,
80690,,51869,
61638,,49249,
55173,,61435,
40893,,61435,
68404,,56677,
80690,,57279,
56079,,41780,
61807,,42059,
48629,,49019,
61807,,57279,
61638,,61334,
54733,,61435,
90910,,73731,
96847,,57279,
61638,,38409,
54774,,49249,
62541,,51881,
79941,,73731,
71835,,49646,
64388,,49249,
51903,,51111,
56948,,41780,
52068,,61334,
50942,,61334,
76483,,49379,
52068,,51881,
76483,,50677,
60254,,72291,
54296,,61383,
127898,,61383,
45235,,67264,
106430,,57655,
37229,,61420,
94293,,84016,
69878,,57371,
127898,,47981,
151806,,55182,
58740,,71733,
58740,,71733,
54086,,62131,
62121,,71733,
42372,,62131,
68975,,62131,
55816,,71733,
40240,,82862,
50949,,82862,
78749,,91416,
59087,,65326,
103827,,75800,
67551,,75800,
72847,,75800,
57571,,71486,
67551,,65326,
102338,,75800,
102338,,59339,
102338,,75800,
59976,,63518,
102338,,62468,
59838,,62468,
72847,,62468,
68656,,91416,
89119,,65326,
89119,,75800,
79268,,62468,
102338,,62468,
102338,,102579,
102338,,73168,
55000,,102579,
102338,,73168,
80407,,87996,
72847,,102579,
