Q1,Q2,Q3,Q4
48.2,,31.9,
31.5,,33,
16.5,,19,
27.6,,23,
19.4,,17.7,
35.2,,36.1,
27.6,,22.7,
35.2,,18,
35.6,,26.4,
23.8,,36.1,
30.1,,28.6,
33.7,,19.6,
33.7,,33,
18.3,,17.7,
36.5,,29.7,
29.8,,51.1,
30,,20.8,
27,,31.3,
22.1,,30.9,
40.6,,30.9,
40.6,,50.4,
21.5,,30.8,
52.7,,30.9,
33.7,,20.3,
37.7,,46,
32.2,,29,
27.6,,30.9,
32.2,,32.7,
36.5,,32.7,
36.5,,32.7,
37.7,,32.7,
36.5,,23.4,
31.4,,30.4,
23.1,,33.5,
35.2,,42.9,
23.8,,33.5,
22.3,,30.5,
20.4,,24.6,
36.5,,13,
33.7,,42.9,
37.7,,32.7,
37.7,,32.7,
22.3,,32.7,
30.9,,32.7,
39.9,,32.7,
33.7,,17.3,
22.3,,15.3,
52.7,,17.5,
35.6,,14.8,
35.5,,31.6,
32.2,,32.7,
33.7,,32.7,
18.6,,42.9,
37.7,,18.9,
9.4,,15.3,
39.2,,42.9,
25,,42.9,
39.2,,33.5,
39.3,,36.8,
39.3,,33.5,
39.2,,24.3,
44.8,,19.4,
19,,23.5,
51.8,,20.5,
57.6,,24.3,
18.8,,32.1,
33.8,,36.8,
39.3,,36.8,
15.3,,36.8,
44.8,,36.8,
39.2,,34.7,
19.2,,36.8,
25,,32.3,
44.8,,22.2,
30.5,,46.7,
44.8,,31.4,
39.2,,46.7,
15.3,,32.3,
33,,46.7,
27.6,,32.3,
57.6,,31.4,
33.8,,46.7,
33,,27.1,
20.6,,31.4,
33.8,,46.7,
39.2,,31.4,
35.3,,46.7,
28.4,,46.7,
51.8,,27.1,
57.6,,46.7,
39.2,,46.7,
39.3,,32.7,
35.1,,27.1,
39.4,,46.7,
34.5,,32.7,
28.3,,29.6,
42.3,,46.7,
16.7,,31,
31.9,,31,
31.9,,46.7,
27.9,,31,
31.9,,31.4,
22.8,,61.4,
27.4,,59,
31.9,,30.4,
31.9,,40.9,
31.9,,40.9,
27.9,,38.6,
27.9,,35.8,
39.3,,35.8,
31.9,,40.6,
22.8,,40.6,
27.4,,31.2,
37.1,,34.9,
31.9,,31.2,
14.1,,26.8,
31.9,,35.8,
31.9,,40.6,
31.9,,31.2,
32.1,,16.9,
39.3,,59,
32.1,,36.7,
26.3,,35.9,
29.7,,55.2,
33.3,,55.2,
39.3,,39.4,
28,,42.8,
27.4,,55.2,
27.4,,28,
27.4,,55.2,
22.8,,28,
19.2,,53,
31.9,,51.7,
8.9,,42.8,
32.1,,44.8,
32.1,,55.2,
37.1,,46.5,
31.9,,37.2,
24.1,,35.9,
14.8,,46.5,
22.4,,35.9,
29.8,,37.2,
37.1,,55.2,
31.9,,35.9,
39.3,,37.2,
37.1,,55.2,
39.3,,39.4,
39.3,,55.2,
31.9,,55.2,
32.1,,44.8,
31.9,,42.8,
44.5,,39.4,
26.2,,39.4,
27.4,,31.5,
13.1,,39.4,
22.4,,46.5,
16.7,,36.7,
21.1,,55.2,
33.3,,35.9,
27.9,,39.4,
31.8,,27.2,
22.8,,36.7,
32.5,,28,
18.8,,55.2,
44.5,,35.9,
17.9,,27.2,
43.7,,39.4,
44.5,,44.8,
19.5,,36.7,
34.2,,27.2,
24.1,,27.2,
53.6,,35.9,
31.6,,21.4,
53.6,,55.2,
44.5,,38.1,
44.5,,46.4,
29.6,,38.5,
27.4,,24.5,
44.5,,31.5,
17.2,,31,
17.2,,33.5,
19.5,,33.5,
43.7,,55.2,
34.2,,31.5,
36.8,,31.5,
44.5,,23.3,
53.6,,35.1,
26.5,,35.1,
44.5,,26.8,
44.5,,23.3,
16.2,,20.5,
34.2,,19.8,
17.2,,21.2,
44.5,,23.3,
19.4,,26.8,
44.5,,23.3,
44.5,,46.4,
43.7,,24.5,
44.5,,23.3,
43.7,,34.8,
44.5,,46.4,
29.6,,46.4,
43.7,,19.1,
24.1,,21.1,
43.7,,33.5,
19.4,,33.5,
44.5,,35.2,
36.8,,27.7,
43.7,,27.7,
36.8,,27.7,
24.6,,21.9,
44.5,,21.4,
16.2,,24.5,
36.8,,55.2,
27.4,,33.2,
22.8,,33.2,
22.8,,24.5,
44.5,,24.5,
29.6,,23.3,
44.5,,21.1,
24.6,,33.5,
44.5,,15.8,
53.6,,23.3,
34.2,,35.2,
36.8,,27.7,
34.2,,33.5,
44.5,,38.5,
44.5,,31.5,
17.2,,33.5,
17.2,,20.9,
44.5,,20.9,
29.4,,55.2,
30.5,,20.9,
26.9,,46.4,
28.6,,18.8,
23.7,,27.7,
29.2,,38.1,
26.9,,46.4,
20.8,,26.8,
17.8,,22.7,
22.8,,55.2,
23.2,,29.3,
27.7,,24.5,
26.9,,20.9,
22.8,,21.2,
24.5,,38.1,
40.7,,35.2,
40.7,,46.4,
22.7,,35.2,
24.2,,33.5,
26.9,,27.7,
48.7,,33.5,
21.4,,19.1,
28.6,,21.5,
51.8,,46.4,
28.5,,20.9,
51.8,,29.7,
44.7,,41.9,
29.4,,49.2,
28.6,,29.7,
48.7,,41.8,
28.6,,19.4,
51.8,,49.2,
27.7,,41.9,
28.6,,18.4,
48.7,,29.7,
26.9,,27.8,
38.3,,41.9,
51.8,,28.7,
48.7,,39.3,
20.4,,49.2,
26.9,,25.4,
28.6,,29.8,
22.5,,43.2,
24.2,,24.3,
27.7,,29.7,
40.7,,25.1,
26.9,,41.9,
20.8,,48.1,
24.2,,49.2,
24.5,,41.9,
20.8,,23.4,
26.9,,27.5,
22.8,,49.2,
40.7,,29.7,
51.8,,39.3,
20.3,,23.4,
48.7,,28.4,
26.9,,49.2,
28.6,,28.7,
18.4,,49.2,
24.4,,49.2,
35.4,,29.8,
24.2,,33.5,
40.7,,21.1,
51.8,,44,
38.3,,22.7,
30.5,,41.9,
22.6,,43.2,
35.4,,44,
30.5,,49.2,
40.5,,32.6,
30.5,,43.2,
48.7,,49.2,
48.7,,22.4,
48.7,,22.5,
28.6,,49.2,
20.8,,39.3,
20.4,,23.9,
29.5,,24.3,
19.1,,48.1,
28.1,,39.3,
47.9,,49.2,
28.1,,49.2,
26.4,,41.8,
23.8,,17.1,
37.7,,49.2,
23.5,,23,
23.6,,19.1,
30.1,,14.5,
32,,39.3,
23.6,,49.2,
42.8,,22.3,
34.2,,20.8,
40.3,,23.2,
23.1,,29.1,
31.9,,17.8,
27.2,,20.5,
39.2,,27.6,
36.7,,14.2,
36.7,,35,
27.2,,32.7,
36.7,,30.9,
31.1,,30.9,
23.5,,35,
59,,30.9,
36.7,,30.9,
40.3,,30.9,
59,,30.9,
36.7,,18.3,
7.3,,46,
15.2,,30.9,
36.7,,36.5,
17.1,,30.2,
27.2,,43.2,
40.3,,14.1,
40.3,,43.2,
