,BreweryName,BreweryType,Latitude,Longitude,County,State
4394,Alpine Brewing Co,micro,48.9365877,-119.4305306,,
4395,Pastime Brewery Bar and Grill,brewpub,48.9379707835242,-119.436309089229,Okanogan,WA
4396,Northwest Brewing Company,contract,47.2501336,-122.2488484,Pierce,WA
4397,Dungeness Brewing Company,micro,48.087279,-123.418449,Clallam,WA
4398,Barhop Brewing,brewpub,48.12098065,-123.433278663378,Clallam,WA
4399,Slaughter County Brewing,brewpub,47.5426193131665,-122.62600103808,Kitsap,WA
4400,Discovery Bay Brewing,micro,48.1065812,-122.8030594,,
4401,Propolis Brewing LLC,micro,48.1091519285644,-122.773444081983,Jefferson,WA
4402,Slippery Pig Brewery,brewpub,47.73347675,-122.645983376879,Kitsap,WA
4403,Sound Brewery,micro,47.7398382,-122.6596831,Kitsap,WA
4404,Green Oak Brewing,brewpub,46.210051,-119.770737408163,Benton,WA
4405,Horse Heaven Hills Brewery,micro,46.2044744653738,-119.770633147027,Benton,WA
4406,RAM Restaurant and Brewery - Puyallup South Hill,brewpub,47.1585707114094,-122.292784973154,Pierce,WA
4407,Off Camber Brewing,micro,47.1989594,-122.2772454,,
4408,The Station U Brew,micro,47.1925251108079,-122.291349749659,Pierce,WA
4409,Black Raven Brewing Co,micro,47.6854905973154,-122.14550957047,King,WA
4410,Postdoc Brewing Company,micro,47.6639200774772,-122.105077242071,King,WA
4411,Herbert B. Friendly Brewing,micro,47.4760991775467,-122.205605,King,WA
4412,Dog & Pony Alehouse and Grill,contract,47.4875826122449,-122.202312877551,King,WA
4413,Four Generals Brewing,micro,47.4801424,-122.205586,,
4414,Rattlesnake Mountain Brewery / Kimo's Restaurant,brewpub,46.2250454328982,-119.223482230166,Benton,WA
4415,Atomic Ale Brewpub and Eatery,brewpub,46.2747551534741,-119.278200311032,Benton,WA
4416,Bombing Range Brewing Company,brewpub,46.3204119,-119.2999357,,
4417,Paper Street Brewing Company,brewpub,46.274953,-119.274455,Benton,WA
4418,Shrub Steppe Smokehouse Brewery,brewpub,46.3204119,-119.2999357,,
4419,White Bluffs Brewing,micro,46.3204119,-119.2999357,Benton,WA
4420,Roslyn Brewing Co,micro,47.2222870970745,-120.99472475205,Kittitas,WA
4421,Big Block Brewing,micro,47.5792621222038,-122.074740001893,King,WA
4422,Hellbent Brewing Company,micro,47.7238772,-122.2931111,King,WA
4423,Lagunitas Seattle Taproom and Beer Sanctuary,brewpub,47.6645881,-122.3784629,,
4424,Northwest Peaks Brewery,micro,47.5509916925813,-122.277436437754,King,WA
4425,Schooner Exact Brewing Co,micro,47.5678008,-122.3354879,,
4426,Elysian Brewing Co -Tangletown,large,47.6687837,-122.333474,King,WA
4427,Belltown Brewery,brewpub,47.6142953,-122.3456669,King,WA
4428,Big Time Brewery,brewpub,47.65785225,-122.313575948865,King,WA
4429,Bluebird Microcreamery and Brewery,micro,47.6826657,-122.355108,,
4430,Burdick Brewery,proprietor,47.5267286,-122.3145617,,
4431,Cloudburst Brewing,micro,47.6116138,-122.3452717,,
4432,Elliott Bay Brewery and Pub - West Seattle,brewpub,47.5604072,-122.3865765,King,WA
4433,Elliott Bay Public House & Brewery - Lake City,brewpub,47.7203026,-122.2948936,King,WA
4434,Elysian Brewing Co,large,47.5533243,-122.3205871,King,WA
4435,Elysian Brewing Co,large,47.6139598,-122.3157647,King,WA
4436,Floating Bridge Brewing,micro,47.6615295,-122.319801733641,King,WA
4437,Flying Bike Cooperative Brewery,micro,47.6920561,-122.3550721,King,WA
4438,Flying Lion Brewing,micro,47.5560348,-122.2840136,King,WA
4439,Fremont Brewing Co,regional,47.64919175,-122.3444367,,
4440,Georgetown Brewing Co,regional,47.5552618,-122.3256809,,
4441,Ghostfish Brewing Company,micro,47.5763508,-122.3338908,King,WA
4442,Hale's Ales Brewery and Pub,micro,47.6592451,-122.36559094051,King,WA
4443,Holy Mountain Brewing Co,micro,47.6308277,-122.3745615,King,WA
